NUMBER  NAME        TRIES / CATCHES
[200]	Misdreavus	0 / 0
[201]	Unown		0 / 0
[202]	Wobbuffet	0 / 0
[203]	Girafarig	0 / 0
[204]	Pineco		0 / 0
[205]	Forretress	0 / 0
[206]	Dunsparce	0 / 0
[207]	Gligar		0 / 0
[208]	Steelix		0 / 0
[209]	Snubbull	0 / 0
[210]	Granbull	0 / 0
[211]	Qwilfish	0 / 0
[212]	Scizor		0 / 0
[213]	Shuckle		0 / 0
[214]	Heracross	0 / 0
[215]	Sneasel		0 / 0
[216]	Teddiursa	0 / 0
[217]	Ursaring	0 / 0
[218]	Slugma		0 / 0
[219]	Magcargo	0 / 0
[220]	Swinub		0 / 0
[221]	Piloswine	0 / 0
[222]	Corsola		0 / 0
[223]	Remoraid	0 / 0
[224]	Octillery	0 / 0
[225]	Delibird	0 / 0
[226]	Mantine		0 / 0
[227]	Skarmory	0 / 0
[228]	Houndour	0 / 0
[229]	Houndoom	0 / 0
[230]	Kingdra		0 / 0
[231]	Phanpy		0 / 0
[232]	Donphan		0 / 0
[233]	Porygon2	0 / 0
[234]	Stantler	0 / 0
[235]	Smeargle	0 / 0
[236]	Tyrogue		0 / 0
[237]	Hitmontop	0 / 0
[238]	Smoochum	0 / 0
[239]	Elekid		0 / 0
[240]	Magby		0 / 0
[241]	Miltank		0 / 0
[242]	Blissey		0 / 0
[243]	Raikou		0 / 0
[244]	Entei		0 / 0
[245]	Suicune		0 / 0
[246]	Larvitar	0 / 0
[247]	Pupitar		0 / 0
[248]	Tyranitar	0 / 0
[249]	Lugia		0 / 0
[250]	Ho-oh		0 / 0
[251]	Celebi		0 / 0
